a,b,c,d,pos,vel,acc
7742.636826811277,464.1588833612782,27.825594022071257,0.1,"(1521.0511208773858, 0.9083333333333333, 3944.5409437048224)","(1546.241018682407, 0.9975, 9489.201202592267)","(481.7307115763369, 0.9991666666666666, 5892.582606382654)"
7742.636826811277,464.1588833612782,27.825594022071257,1.6681005372000592,"(1546.7589841428817, 0.7858333333333334, 3739.151227498113)","(1697.1409430847184, 0.9975, 9261.306598238547)","(603.2668338915422, 0.9991666666666666, 6177.512568960493)"
7742.636826811277,464.1588833612782,27.825594022071257,27.825594022071257,"(1610.3163496570035, 0.6341666666666667, 2944.383766255121)","(2073.5321850572923, 0.875, 7762.751035906065)","(982.9826433685397, 0.91, 6381.794550261674)"
7742.636826811277,464.1588833612782,27.825594022071257,464.1588833612782,"(1722.0933320474742, 0.41333333333333333, 2021.688501351518)","(2779.272608115519, 0.6391666666666667, 6055.939544019191)","(1936.2146930440101, 0.6991666666666667, 6639.546054730178)"
7742.636826811277,464.1588833612782,27.825594022071257,7742.636826811277,"(1890.0919771541965, 0.265, 1429.933570298759)","(4006.942146147623, 0.3958333333333333, 4671.397686653595)","(4206.660872985297, 0.44666666666666666, 6767.879465566526)"
7742.636826811277,464.1588833612782,27.825594022071257,129154.96650148854,"(2119.534375144392, 0.08333333333333333, 1035.0017989139628)","(6123.73535913229, 0.22416666666666665, 3827.7384711349896)","(9617.155914300522, 0.26916666666666667, 7078.445452065848)"
7742.636826811277,464.1588833612782,27.825594022071257,2154434.6900318866,"(2408.8573090949726, 0.024166666666666666, 890.7404025777016)","(9773.57941463071, 0.050833333333333335, 3605.066484036806)","(22663.78575243202, 0.085, 8089.2996788937535)"
7742.636826811277,464.1588833612782,27.825594022071257,35938136.638046406,"(2748.95392138387, 0.005833333333333334, 929.4689683530563)","(16063.02805137019, 0.016666666666666666, 4636.406214959295)","(54517.86631580941, 0.015, 12843.538981639495)"
7742.636826811277,464.1588833612782,27.825594022071257,599484250.3189421,"(3123.6986426733715, 0.0, 1021.8921719124335)","(26910.233944619435, 0.0033333333333333335, 7146.779364796358)","(133268.3561121421, 0.0025, 27061.24339895067)"
7742.636826811277,464.1588833612782,27.825594022071257,10000000000.0,"(3509.4225538087653, 0.0, 1149.7717722688114)","(45731.505524923894, 0.0008333333333333334, 11986.486791307043)","(331005.4023442108, 0.0008333333333333334, 65135.0018943653)"
7742.636826811277,464.1588833612782,464.1588833612782,0.1,"(1595.3718246559108, 0.6266666666666667, 2686.3163162283813)","(1989.9705391692203, 0.8208333333333333, 7100.713022689179)","(949.734052466686, 0.9016666666666666, 5768.211459013477)"
7742.636826811277,464.1588833612782,464.1588833612782,1.6681005372000592,"(1601.8265502915938, 0.6016666666666667, 2629.8437084632155)","(2028.271446443422, 0.7875, 6984.54500807215)","(987.0260100925691, 0.8475, 5780.518449694623)"
